rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
0,507750,269550,mobile,ended,-81.0,,,time delta > 2 hours
1,508131,359049,connect,ended,70.0,,,time delta > 2 hours
2,511626,398802,mobile,ended,-203.0,,,time delta > 2 hours
3,511639,370585,connect,ended,-15.0,563782.0,570.0,time delta > 2 hours
4,512303,371242,mobile,ended,-44.0,,,time delta > 2 hours
5,513434,256528,connect,ended,23.0,,,time delta > 2 hours
6,514257,402596,mobile,ended,214.0,,,time delta > 2 hours
7,515147,257466,mobile,ended,15.0,,,time delta > 2 hours
8,518282,364160,connect,ended,-81.0,,,time delta > 2 hours
9,518366,397217,mobile,ended,-156.0,,,time delta > 2 hours
10,518895,398816,mobile,ended,66.0,,,time delta > 2 hours
11,518938,382243,mobile,ended,215.0,,,time delta > 2 hours
12,519491,312389,mobile,ended,58.0,545639.0,420.0,time delta > 2 hours
13,519795,383720,connect,ended,-159.0,,,time delta > 2 hours
14,520095,404496,mobile,ended,-16.0,,,time delta > 2 hours
15,521191,224745,mobile,ended,1452.0,,,time delta > 2 hours
16,521352,403184,mobile,ended,-29.0,,,time delta > 2 hours
17,521734,190995,mobile,ended,-251.0,,,time delta > 2 hours
18,522602,391287,mobile,ended,35.0,,,time delta > 2 hours
19,523800,352799,mobile,ended,-345.0,,,time delta > 2 hours
20,524806,337859,mobile,ended,-26.0,,,time delta > 2 hours
21,525817,351617,mobile,ended,22.0,,,time delta > 2 hours
22,526798,356877,mobile,ended,-15.0,,,time delta > 2 hours
23,527377,306450,connect,ended,52.0,,,time delta > 2 hours
24,527569,314220,mobile,ended,-2.0,,,time delta > 2 hours
25,527627,402562,connect,ended,-1.0,,,time delta > 2 hours
26,528808,181625,connect,ended,-76.0,557404.0,330.0,time delta > 2 hours
27,529193,374877,mobile,ended,15.0,,,time delta > 2 hours
28,529852,363433,mobile,ended,-68.0,,,time delta > 2 hours
29,530646,259092,mobile,ended,-340.0,,,time delta > 2 hours
30,530700,221171,mobile,ended,130.0,,,time delta > 2 hours
31,531158,404169,mobile,ended,29.0,,,time delta > 2 hours
32,531507,355554,mobile,ended,-4.0,,,time delta > 2 hours
33,531526,404562,mobile,ended,-160.0,,,time delta > 2 hours
34,531955,317639,mobile,ended,-30.0,,,time delta > 2 hours
35,531961,234356,mobile,ended,-47.0,,,time delta > 2 hours
36,532245,361468,connect,ended,-63.0,,,time delta > 2 hours
37,532416,275810,mobile,ended,-148.0,,,time delta > 2 hours
38,532495,378257,mobile,ended,44.0,,,time delta > 2 hours
39,532802,373061,mobile,ended,-98.0,,,time delta > 2 hours
40,533294,364052,mobile,ended,-33.0,,,time delta > 2 hours
41,533303,336902,mobile,ended,-340.0,,,time delta > 2 hours
42,533380,314456,connect,ended,-167.0,,,time delta > 2 hours
43,533442,389958,mobile,ended,31.0,,,time delta > 2 hours
44,533670,320824,connect,ended,-6.0,556563.0,630.0,time delta > 2 hours
45,533683,271380,mobile,ended,79.0,,,time delta > 2 hours
46,533790,394562,mobile,ended,30.0,,,time delta > 2 hours
47,534611,392176,mobile,ended,33.0,,,time delta > 2 hours
48,534654,303652,mobile,ended,-52.0,,,time delta > 2 hours
49,534789,395243,mobile,ended,44.0,,,time delta > 2 hours
50,534820,373893,connect,ended,-576.0,,,time delta > 2 hours
51,534827,404169,mobile,ended,-7.0,531158.0,90.0,time delta btw 0 and 2 hours
52,534926,390702,connect,ended,-178.0,,,time delta > 2 hours
53,534943,358567,connect,ended,37.0,,,time delta > 2 hours
54,534956,344594,mobile,ended,24.0,,,time delta > 2 hours
55,535071,358480,mobile,ended,40.0,,,time delta > 2 hours
56,535116,380364,mobile,ended,137.0,,,time delta > 2 hours
57,535139,384575,mobile,ended,249.0,,,time delta > 2 hours
58,535313,396552,mobile,ended,23.0,,,time delta > 2 hours
59,535331,402083,connect,ended,-108.0,,,time delta > 2 hours
60,535399,362659,mobile,ended,-6.0,,,time delta > 2 hours
