rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_groups
0,507750,269550,mobile,ended,-81.0,,,time delta > 2 hours,early less than 2 hours
1,511626,398802,mobile,ended,-203.0,,,time delta > 2 hours,early more than 2 hours
2,511639,370585,connect,ended,-15.0,563782.0,570.0,time delta > 2 hours,early less than 2 hours
3,512303,371242,mobile,ended,-44.0,,,time delta > 2 hours,early less than 2 hours
4,518282,364160,connect,ended,-81.0,,,time delta > 2 hours,early less than 2 hours
5,518366,397217,mobile,ended,-156.0,,,time delta > 2 hours,early more than 2 hours
6,519795,383720,connect,ended,-159.0,,,time delta > 2 hours,early more than 2 hours
7,520095,404496,mobile,ended,-16.0,,,time delta > 2 hours,early less than 2 hours
8,521352,403184,mobile,ended,-29.0,,,time delta > 2 hours,early less than 2 hours
9,521734,190995,mobile,ended,-251.0,,,time delta > 2 hours,early more than 2 hours
10,523800,352799,mobile,ended,-345.0,,,time delta > 2 hours,early more than 2 hours
11,524806,337859,mobile,ended,-26.0,,,time delta > 2 hours,early less than 2 hours
12,526798,356877,mobile,ended,-15.0,,,time delta > 2 hours,early less than 2 hours
13,527569,314220,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
14,527627,402562,connect,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
15,528808,181625,connect,ended,-76.0,557404.0,330.0,time delta > 2 hours,early less than 2 hours
16,529852,363433,mobile,ended,-68.0,,,time delta > 2 hours,early less than 2 hours
17,530646,259092,mobile,ended,-340.0,,,time delta > 2 hours,early more than 2 hours
18,531507,355554,mobile,ended,-4.0,,,time delta > 2 hours,early less than 2 hours
19,531526,404562,mobile,ended,-160.0,,,time delta > 2 hours,early more than 2 hours
20,531955,317639,mobile,ended,-30.0,,,time delta > 2 hours,early less than 2 hours
21,531961,234356,mobile,ended,-47.0,,,time delta > 2 hours,early less than 2 hours
22,532245,361468,connect,ended,-63.0,,,time delta > 2 hours,early less than 2 hours
23,532416,275810,mobile,ended,-148.0,,,time delta > 2 hours,early more than 2 hours
24,532802,373061,mobile,ended,-98.0,,,time delta > 2 hours,early less than 2 hours
25,533294,364052,mobile,ended,-33.0,,,time delta > 2 hours,early less than 2 hours
26,533303,336902,mobile,ended,-340.0,,,time delta > 2 hours,early more than 2 hours
27,533380,314456,connect,ended,-167.0,,,time delta > 2 hours,early more than 2 hours
28,533670,320824,connect,ended,-6.0,556563.0,630.0,time delta > 2 hours,early less than 2 hours
29,534654,303652,mobile,ended,-52.0,,,time delta > 2 hours,early less than 2 hours
30,534820,373893,connect,ended,-576.0,,,time delta > 2 hours,early more than 2 hours
31,534827,404169,mobile,ended,-7.0,531158.0,90.0,time delta btw 0 and 2 hours,early less than 2 hours
32,534926,390702,connect,ended,-178.0,,,time delta > 2 hours,early more than 2 hours
33,535331,402083,connect,ended,-108.0,,,time delta > 2 hours,early less than 2 hours
34,535399,362659,mobile,ended,-6.0,,,time delta > 2 hours,early less than 2 hours
35,535514,348178,mobile,ended,-150.0,,,time delta > 2 hours,early more than 2 hours
36,535738,398733,mobile,ended,-1.0,,,time delta > 2 hours,early less than 2 hours
37,535821,381583,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
38,536108,337311,mobile,ended,-843.0,,,time delta > 2 hours,early more than 2 hours
39,536444,389785,connect,ended,-130.0,,,time delta > 2 hours,early more than 2 hours
40,536990,193354,mobile,ended,-12.0,,,time delta > 2 hours,early less than 2 hours
41,537277,342067,mobile,ended,-125.0,,,time delta > 2 hours,early more than 2 hours
42,537352,349280,mobile,ended,-96.0,,,time delta > 2 hours,early less than 2 hours
43,537822,396544,mobile,ended,-35.0,,,time delta > 2 hours,early less than 2 hours
44,538105,243218,mobile,ended,-24.0,,,time delta > 2 hours,early less than 2 hours
45,538184,347242,mobile,ended,-129.0,,,time delta > 2 hours,early more than 2 hours
46,538251,401964,mobile,ended,-37.0,,,time delta > 2 hours,early less than 2 hours
47,538437,408937,mobile,ended,-155.0,,,time delta > 2 hours,early more than 2 hours
48,538569,406984,mobile,ended,-15.0,,,time delta > 2 hours,early less than 2 hours
49,538678,351549,connect,ended,-348.0,,,time delta > 2 hours,early more than 2 hours
50,538852,311437,mobile,ended,-120.0,,,time delta > 2 hours,early more than 2 hours
51,539071,388231,mobile,ended,-35.0,,,time delta > 2 hours,early less than 2 hours
52,539451,355444,connect,ended,-536.0,,,time delta > 2 hours,early more than 2 hours
53,539923,247971,mobile,ended,-51.0,,,time delta > 2 hours,early less than 2 hours
54,540018,245480,mobile,ended,-196.0,,,time delta > 2 hours,early more than 2 hours
55,540217,398802,mobile,ended,-988.0,543426.0,720.0,time delta > 2 hours,early more than 2 hours
56,540298,202057,mobile,ended,-6.0,,,time delta > 2 hours,early less than 2 hours
57,540330,362860,mobile,ended,-18.0,,,time delta > 2 hours,early less than 2 hours
58,540369,341086,mobile,ended,-62.0,,,time delta > 2 hours,early less than 2 hours
59,540553,303506,mobile,ended,-24.0,,,time delta > 2 hours,early less than 2 hours
60,540633,396732,mobile,ended,-5.0,,,time delta > 2 hours,early less than 2 hours
61,540735,314897,mobile,ended,-14.0,,,time delta > 2 hours,early less than 2 hours
62,541014,321607,mobile,ended,-7.0,,,time delta > 2 hours,early less than 2 hours
63,541174,284552,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
64,541991,329496,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
65,542400,315909,mobile,ended,-7.0,,,time delta > 2 hours,early less than 2 hours
66,542661,391512,mobile,ended,-170.0,,,time delta > 2 hours,early more than 2 hours
67,542894,218964,mobile,ended,-36.0,,,time delta > 2 hours,early less than 2 hours
68,542942,358082,connect,ended,-106.0,,,time delta > 2 hours,early less than 2 hours
69,543050,379428,mobile,ended,-21.0,,,time delta > 2 hours,early less than 2 hours
70,543251,409296,mobile,ended,-18.0,,,time delta > 2 hours,early less than 2 hours
71,543328,358772,connect,ended,-9.0,552619.0,240.0,time delta > 2 hours,early less than 2 hours
72,543437,409808,mobile,ended,-57.0,,,time delta > 2 hours,early less than 2 hours
73,543443,356551,connect,ended,-529.0,,,time delta > 2 hours,early more than 2 hours
74,543614,378939,mobile,ended,-1087.0,,,time delta > 2 hours,early more than 2 hours
75,543676,390481,mobile,ended,-53.0,,,time delta > 2 hours,early less than 2 hours
76,543984,313085,mobile,ended,-44.0,,,time delta > 2 hours,early less than 2 hours
77,544164,301301,connect,ended,-244.0,,,time delta > 2 hours,early more than 2 hours
78,544617,367627,mobile,ended,-23.0,,,time delta > 2 hours,early less than 2 hours
79,544980,350135,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
80,545068,374684,mobile,ended,-31.0,,,time delta > 2 hours,early less than 2 hours
81,545272,370585,connect,ended,-98.0,,,time delta > 2 hours,early less than 2 hours
82,545438,393172,connect,ended,-467.0,,,time delta > 2 hours,early more than 2 hours
83,545782,382901,mobile,ended,-9.0,,,time delta > 2 hours,early less than 2 hours
84,545922,409695,mobile,ended,-80.0,,,time delta > 2 hours,early less than 2 hours
85,545947,396470,mobile,ended,-44.0,,,time delta > 2 hours,early less than 2 hours
86,546150,242106,mobile,ended,-2.0,,,time delta > 2 hours,early less than 2 hours
87,546252,408509,mobile,ended,-52.0,,,time delta > 2 hours,early less than 2 hours
88,546745,342645,connect,ended,-55.0,,,time delta > 2 hours,early less than 2 hours
89,546957,405122,mobile,ended,-113.0,,,time delta > 2 hours,early less than 2 hours
90,547122,385574,connect,ended,-5.0,,,time delta > 2 hours,early less than 2 hours
91,547177,214635,connect,ended,-548.0,,,time delta > 2 hours,early more than 2 hours
92,547236,392147,mobile,ended,-8.0,,,time delta > 2 hours,early less than 2 hours
93,548215,367346,mobile,ended,-8.0,,,time delta > 2 hours,early less than 2 hours
94,548279,317330,connect,ended,-692.0,,,time delta > 2 hours,early more than 2 hours
95,548598,288973,mobile,ended,-133.0,,,time delta > 2 hours,early more than 2 hours
96,548603,363820,mobile,ended,-22.0,,,time delta > 2 hours,early less than 2 hours
97,548897,278005,mobile,ended,-307.0,,,time delta > 2 hours,early more than 2 hours
98,548904,373316,mobile,ended,-40.0,,,time delta > 2 hours,early less than 2 hours
99,549047,369608,mobile,ended,-37.0,,,time delta > 2 hours,early less than 2 hours
100,549261,360829,mobile,ended,-12.0,,,time delta > 2 hours,early less than 2 hours
101,549266,411687,mobile,ended,-11.0,,,time delta > 2 hours,early less than 2 hours
102,549273,175887,connect,ended,-26.0,,,time delta > 2 hours,early less than 2 hours
103,549290,364907,connect,ended,-49.0,,,time delta > 2 hours,early less than 2 hours
104,549579,273263,mobile,ended,-5.0,,,time delta > 2 hours,early less than 2 hours
105,549674,390702,connect,ended,-127.0,,,time delta > 2 hours,early more than 2 hours
106,549692,358131,mobile,ended,-158.0,,,time delta > 2 hours,early more than 2 hours
107,550000,378182,mobile,ended,-136.0,,,time delta > 2 hours,early more than 2 hours
