rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,late_groups
0,508131,359049,connect,ended,70.0,,,time delta > 2 hours,late btw 1 and 2 hours
1,513434,256528,connect,ended,23.0,,,time delta > 2 hours,late <= 1 hour
2,514257,402596,mobile,ended,214.0,,,time delta > 2 hours,late btw 3 and 4 hours
3,515147,257466,mobile,ended,15.0,,,time delta > 2 hours,late <= 1 hour
4,518895,398816,mobile,ended,66.0,,,time delta > 2 hours,late btw 1 and 2 hours
5,518938,382243,mobile,ended,215.0,,,time delta > 2 hours,late btw 3 and 4 hours
6,519491,312389,mobile,ended,58.0,545639.0,420.0,time delta > 2 hours,late <= 1 hour
7,521191,224745,mobile,ended,1452.0,,,time delta > 2 hours,late btw 1 and 2 days
8,522602,391287,mobile,ended,35.0,,,time delta > 2 hours,late <= 1 hour
9,525817,351617,mobile,ended,22.0,,,time delta > 2 hours,late <= 1 hour
10,527377,306450,connect,ended,52.0,,,time delta > 2 hours,late <= 1 hour
11,529193,374877,mobile,ended,15.0,,,time delta > 2 hours,late <= 1 hour
12,530700,221171,mobile,ended,130.0,,,time delta > 2 hours,late btw 2 and 3 hours
13,531158,404169,mobile,ended,29.0,,,time delta > 2 hours,late <= 1 hour
14,532495,378257,mobile,ended,44.0,,,time delta > 2 hours,late <= 1 hour
15,533442,389958,mobile,ended,31.0,,,time delta > 2 hours,late <= 1 hour
16,533683,271380,mobile,ended,79.0,,,time delta > 2 hours,late btw 1 and 2 hours
17,533790,394562,mobile,ended,30.0,,,time delta > 2 hours,late <= 1 hour
18,534611,392176,mobile,ended,33.0,,,time delta > 2 hours,late <= 1 hour
19,534789,395243,mobile,ended,44.0,,,time delta > 2 hours,late <= 1 hour
20,534943,358567,connect,ended,37.0,,,time delta > 2 hours,late <= 1 hour
21,534956,344594,mobile,ended,24.0,,,time delta > 2 hours,late <= 1 hour
22,535071,358480,mobile,ended,40.0,,,time delta > 2 hours,late <= 1 hour
23,535116,380364,mobile,ended,137.0,,,time delta > 2 hours,late btw 2 and 3 hours
24,535139,384575,mobile,ended,249.0,,,time delta > 2 hours,late btw 4 and 6 hours
25,535313,396552,mobile,ended,23.0,,,time delta > 2 hours,late <= 1 hour
26,535601,376381,mobile,ended,9.0,,,time delta > 2 hours,late <= 1 hour
27,535611,397814,mobile,ended,68.0,535512.0,300.0,time delta > 2 hours,late btw 1 and 2 hours
28,535726,375944,connect,ended,38.0,,,time delta > 2 hours,late <= 1 hour
29,535770,352436,mobile,ended,74.0,524703.0,60.0,time delta btw 0 and 2 hours,late btw 1 and 2 hours
30,536343,369230,mobile,ended,780.0,,,time delta > 2 hours,late btw 6h and 1 day
31,536978,378931,mobile,ended,271.0,,,time delta > 2 hours,late btw 4 and 6 hours
32,537040,267735,mobile,ended,933.0,,,time delta > 2 hours,late btw 6h and 1 day
33,537082,359641,mobile,ended,1967.0,,,time delta > 2 hours,late btw 1 and 2 days
34,537381,338052,mobile,ended,205.0,,,time delta > 2 hours,late btw 3 and 4 hours
35,537576,397470,mobile,ended,18.0,539005.0,0.0,time delta btw 0 and 2 hours,late <= 1 hour
36,537627,390736,mobile,ended,48.0,,,time delta > 2 hours,late <= 1 hour
37,537677,389994,mobile,ended,266.0,,,time delta > 2 hours,late btw 4 and 6 hours
38,537705,404731,mobile,ended,36.0,,,time delta > 2 hours,late <= 1 hour
39,537923,313085,mobile,ended,80.0,,,time delta > 2 hours,late btw 1 and 2 hours
40,538012,192803,mobile,ended,3233.0,,,time delta > 2 hours,late btw 2 and 3 days
41,538194,380708,connect,ended,2.0,,,time delta > 2 hours,late <= 1 hour
42,538328,409359,mobile,ended,8.0,,,time delta > 2 hours,late <= 1 hour
43,538501,396281,mobile,ended,134.0,,,time delta > 2 hours,late btw 2 and 3 hours
44,538660,297511,mobile,ended,13.0,,,time delta > 2 hours,late <= 1 hour
45,538882,369219,mobile,ended,85.0,,,time delta > 2 hours,late btw 1 and 2 hours
46,539196,347612,mobile,ended,66.0,,,time delta > 2 hours,late btw 1 and 2 hours
47,539262,359046,mobile,ended,32.0,,,time delta > 2 hours,late <= 1 hour
48,539369,390467,connect,ended,41.0,,,time delta > 2 hours,late <= 1 hour
49,539396,388032,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
50,539688,369483,mobile,ended,216.0,,,time delta > 2 hours,late btw 3 and 4 hours
51,539865,277766,mobile,ended,28.0,,,time delta > 2 hours,late <= 1 hour
52,539995,258837,mobile,ended,93.0,,,time delta > 2 hours,late btw 1 and 2 hours
53,540190,365531,mobile,ended,9.0,,,time delta > 2 hours,late <= 1 hour
54,540434,402505,mobile,ended,210.0,,,time delta > 2 hours,late btw 3 and 4 hours
55,540479,374684,mobile,ended,12.0,539751.0,0.0,time delta btw 0 and 2 hours,late <= 1 hour
56,540649,352528,connect,ended,90.0,,,time delta > 2 hours,late btw 1 and 2 hours
57,540733,393558,mobile,ended,15422.0,,,time delta > 2 hours,late more than 10 days
58,540966,405906,mobile,ended,11.0,,,time delta > 2 hours,late <= 1 hour
59,541060,280562,mobile,ended,146.0,,,time delta > 2 hours,late btw 2 and 3 hours
60,541372,387559,mobile,ended,13.0,,,time delta > 2 hours,late <= 1 hour
