rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
6,511639,370585,connect,ended,-15.0,563782.0,570.0,time delta > 45 min,early less than 45 min
19,519491,312389,mobile,ended,58.0,545639.0,420.0,time delta > 45 min,late btw 45 min and 2 hour
40,528808,181625,connect,ended,-76.0,557404.0,330.0,time delta > 45 min,early more than 45 min
64,533670,320824,connect,ended,-6.0,556563.0,630.0,time delta > 45 min,early less than 45 min
74,534827,404169,mobile,ended,-7.0,531158.0,90.0,time delta > 45 min,early less than 45 min
87,535611,397814,mobile,ended,68.0,535512.0,300.0,time delta > 45 min,late btw 45 min and 2 hour
90,535770,352436,mobile,ended,74.0,524703.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
107,537576,397470,mobile,ended,18.0,539005.0,0.0,time delta btw 0 and 45 min,late <= 45 min
142,540217,398802,mobile,ended,-988.0,543426.0,720.0,time delta > 45 min,early more than 45 min
148,540479,374684,mobile,ended,12.0,539751.0,0.0,time delta btw 0 and 45 min,late <= 45 min
164,541862,382364,mobile,ended,125.0,540607.0,0.0,time delta btw 0 and 45 min,late btw 2 and 3 hours
176,542374,409676,mobile,ended,50.0,540444.0,180.0,time delta > 45 min,late btw 45 min and 2 hour
195,543328,358772,connect,ended,-9.0,552619.0,240.0,time delta > 45 min,early less than 45 min
201,543679,225795,connect,ended,64.0,540663.0,540.0,time delta > 45 min,late btw 45 min and 2 hour
206,543808,369230,mobile,ended,75.0,536315.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
246,546477,383309,mobile,ended,16.0,548486.0,660.0,time delta > 45 min,late <= 45 min
265,547188,231676,mobile,ended,266.0,535868.0,30.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
284,548912,411521,mobile,ended,225.0,553683.0,60.0,time delta > 45 min,late btw 3 and 4 hours
311,550248,382901,mobile,ended,-127.0,545782.0,60.0,time delta > 45 min,early more than 45 min
321,551069,359880,connect,ended,-22.0,549192.0,180.0,time delta > 45 min,early less than 45 min
342,552330,384657,connect,ended,23.0,554800.0,0.0,time delta btw 0 and 45 min,late <= 45 min
343,552342,376619,mobile,ended,-965.0,547312.0,0.0,time delta btw 0 and 45 min,early more than 45 min
345,552425,385625,connect,ended,-102.0,550476.0,30.0,time delta btw 0 and 45 min,early more than 45 min
359,553367,385783,mobile,ended,24.0,519328.0,150.0,time delta > 45 min,late <= 45 min
375,554695,402993,mobile,ended,17.0,560722.0,720.0,time delta > 45 min,late <= 45 min
410,557674,375915,mobile,ended,15.0,550183.0,480.0,time delta > 45 min,late <= 45 min
417,558088,245154,connect,ended,-40.0,566170.0,180.0,time delta > 45 min,early less than 45 min
418,558250,375126,connect,ended,-4.0,549813.0,600.0,time delta > 45 min,early less than 45 min
